Titulo, classificação indicativa, gênero, sinopse, status
O Poderoso Chefão,14,Drama,O patriarca idoso de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante.,Disponível
Titanic,12,Romance,Uma aristocrata de dezessete anos se apaixona por um artista gentil mas pobre a bordo do luxuoso e desafortunado Titanic.,Disponível
Avatar,12,Ficção Científica,Um militar paraplégico despachado para a lua Pandora em uma missão única fica dividido entre seguir suas ordens e proteger o mundo que ele sente ser sua casa.,Disponível
Vingadores Ultimato,12,Ação,Após os eventos devastadores de Vingadores Guerra Infinita o universo está em ruínas. E com a ajuda de aliados os Vingadores se reúnem para desfazer as ações de Thanos e restaurar a ordem.,Disponível
Vingadores Guerra Infinita,12,Ação,Os Vingadores e seus aliados deverão sacrificar tudo em uma tentativa de derrotar o poderoso Thanos antes que sua explosão de devastação ponha fim ao universo.,Disponível
Homem de Ferro,12,Ação,Depois de ficar preso em uma caverna afegã o engenheiro multimilionário Tony Stark cria uma armadura única para combater o mal.,Disponível
Batman O Cavaleiro das Trevas,12,Ação,Agora com a ajuda do tenente Jim Gordon e do promotor público Harvey Dent Batman tem tudo para banir o crime de Gotham City de uma vez por todas. Mas em breve os três serão vítimas do Coringa.,Disponível
Homem-Aranha Sem Volta Para Casa,12,Ação,Com a identidade do Homem-Aranha agora revelada Peter pede ajuda ao Doutor Estranho. Quando um feitiço dá errado inimigos perigosos de outros mundos começam a aparecer.,Disponível
Interestelar,10,Ficção Científica,Uma equipe de exploradores viaja através de um buraco de minhoca no espaço na tentativa de garantir a sobrevivência da humanidade.,Disponível
Matrix,14,Ficção Científica,Um hacker aprende com os misteriosos rebeldes sobre a verdadeira natureza de sua realidade e seu papel na guerra contra seus controladores.,Disponível
Forrest Gump,12,Drama,Os governos dos presidentes Kennedy e Johnson os eventos do Vietnã e Watergate e outras histórias são mostrados através da perspectiva de um homem do Alabama com baixo quociente intelectual.,Disponível
Clube da Luta,18,Drama,Um trabalhador de escritório e um fabricante de sabonetes formam um clube de luta clandestino que evolui para algo muito maior.,Disponível
O Senhor dos Anéis A Sociedade do Anel,12,Fantasia,Um manso hobbit do Condado e oito companheiros partem em uma jornada para destruir o poderoso Um Anel e salvar a Terra-média das Trevas.,Disponível
O Senhor dos Anéis As Duas Torres,12,Fantasia,Enquanto Frodo e Sam estão perto de Mordor com a ajuda de Gollum a dividida comunhão luta contra Saruman e os Isengards.,Disponível
O Senhor dos Anéis O Retorno do Rei,12,Fantasia,Gandalf e Aragorn lideram o Mundo dos Homens contra o exército de Sauron para desviar o olhar de Frodo e Sam quando eles se aproximam à Montanha da Perdição com o Um Anel.,Disponível
Star Wars Uma Nova Esperança,10,Ficção Científica,Luke Skywalker une forças com um Cavaleiro Jedi um piloto arrogante um Wookiee e dois dróides para salvar a galáxia da estação de batalha destruidora de mundos do Império enquanto também tenta resgatar a Princesa Leia do misterioso Darth Vader.,Disponível
Star Wars O Império Contra-Ataca,L,Ficção Científica,Após o Império derrotar a Aliança Rebelde Luke Skywalker começa a treinar com o Mestre Jedi Yoda enquanto Darth Vader e o caçador de recompensas Boba Fett perseguem seus amigos pela galáxia.,Disponível
Jurassic Park,L,Aventura,Um milionário traz à vida dinossauros extintos há milhares de anos criando um imenso parque. Mas os gigantes pré-históricos começam a ameaçar a vida dos visitantes.,Disponível
Toy Story,L,Animação,Um boneco de cowboy fica profundamente enciumado quando um novo boneco de astronauta o substitui como o brinquedo favorito no quarto de um menino. Quando as circunstâncias os separam de seu dono a dupla precisa deixar suas diferenças de lado para voltar para ele.,Disponível
Toy Story 3,L,Animação,Os brinquedos são dados por erro a uma creche Woody junto com os outros brinquedos tentam voltar à casa do Andy.,Disponível
Procurando Nemo,L,Animação,Quando seu filho é capturado um peixe-palhaço tímido embarca em uma viagem para trazê-lo para casa.,Disponível
Divertida Mente,L,Animação,Após a jovem Riley ser arrancada de sua vida no Meio-Oeste americano e se mudar para São Francisco suas emoções – Alegria Medo Raiva Nojo e Tristeza – entram em conflito sobre a melhor maneira de se adaptar à nova cidade casa e escola.,Disponível
O Rei Leão,L,Animação,Um pequeno leão é obrigado por seu tio a fugir de casa e anos depois se dá conta da sua identidade e de suas responsabilidades.,Disponível
Gladiador,14,Ação,Um general romano planeja a melhor vingança contra o imperador corrupto que matou sua família e o fez escravo.,Disponível
Coringa,16,Drama,Um comediante falido enlouquece e se torna um assassino psicopata.,Disponível
Os Vingadores,12,Ação,Os heróis mais poderosos da Terra devem se unir e aprender a lutar como uma equipe para impedir que um exército alienígena escravize a humanidade.,Disponível
De Volta Para o Futuro,L,Aventura,Marty McFly viaja para 1955 com a máquina do tempo do cientista Dr. Brown. Ele deve garantir que seus pais se apaixonem para não arriscar sua própria existência.,Disponível
E.T. O Extraterrestre,L,Ficção Científica,Uma criança encontra coragem para ajudar um extraterrestre a escapar da Terra e voltar para casa.,Disponível
O Exorcista,14,Terror,Quando uma adolescente é possuída por uma entidade misteriosa sua mãe busca a ajuda de dois padres católicos para salvar sua vida.,Disponível
Tubarão,14,Terror,Quando um tubarão desencadeia caos em uma praia um xerife um biólogo e um marinheiro darão caça ao animal.,Disponível
Rocky Um Lutador,12,Drama,Um boxeador pouco conhecido tem uma grande oportunidade de enfrentar o campeão dos pesos pesados em uma partida em que ele espera estar à altura da tarefa e divulgar seu nome.,Disponível
Rambo Programado Para Matar,14,Ação,John Rambo ex-membro dos Boinas Verdes é perseguido nas montanhas por um xerife tirânico e seus subordinados forçando-o a sobreviver usando suas habilidades de combate.,Disponível
Piratas do Caribe A Maldição da Pérola Negra,14,Aventura,O ferreiro Will Turner une forças com o excêntrico pirata "Capitão" Jack Sparrow para salvar Elizabeth Swann filha do governador e seu grande amor dos antigos aliados piratas de Jack agora mortos-vivos.,Disponível
Harry Potter e a Pedra Filosofal,L,Fantasia,Um menino órfão se matricula em uma escola de magia onde descobre a verdade sobre si mesmo sua família e o terrível mal que assombra o mundo mágico.,Disponível
Harry Potter e as Relíquias da Morte Parte 2,12,Fantasia,Conforme a batalha entre as forças do bem e do mal no mundo bruxo aumenta de proporções Harry Potter se aproxima cada vez mais do confronto final com Voldemort.,Disponível
Jogos Vorazes,14,Ação,Katniss Everden voluntariamente se oferece no lugar da sua irmã nos Jogos Vorazes uma competição onde jovens de cada um dos distritos de Panem são escolhidos aleatoriamente para brigar.,Disponível
Pantera Negra,14,Ação,T'Challa herdeiro do reino oculto mas avançado de Wakanda deve dar um passo adiante para conduzir seu povo a um novo futuro e deve enfrentar um adversário do passado de seu país.,Disponível
Duna,14,Ficção Científica,Paul Atreides é um jovem prodígio com um futuro grandioso e envolto em mistério que precisa viajar para o planeta mais perigoso do universo para garantir o futuro de sua família e de seu povo.,Disponível
A Origem,14,Ficção Científica,Um ladrão que rouba segredos corporativos através da tecnologia de entrar no subconsciente recebe a tarefa inversa de plantar uma ideia na mente do diretor de uma grande empresa.,Disponível
O Iluminado,16,Terror,Uma família se dirige a um hotel isolado para o inverno onde uma presença sinistra influencia a violência do pai enquanto seu filho psíquico vê presságios horríveis do passado e do futuro.,Disponível
Mad Max Estrada da Fúria,16,Ação,Em um mundo pós-apocalíptico uma mulher se rebela contra um governante tirânico em busca de sua terra natal com a ajuda de um grupo de prisioneiras um adorador psicótico e um nômade chamado Max.,Disponível
La La Land,L,Romance,Um pianista e uma atriz frustrada se apaixonam enquanto tentam trabalhar por seus futuros.,Disponível
O Lobo de Wall Street,18,Drama,Baseada na verdadeira história de Jordan Belfort desde sua ascensão como corretor de valores até a sua queda e envolvimento no crime e na corrupção com o governo.,Disponível
Parasita,16,Drama,Desempregada a família de Ki-taek nutre um interesse peculiar pela família Park até que eles se veem presos em um inesperado incidente.,Disponível
A Lista de Schindler,14,Drama,Na Polônia ocupada pelos alemães durante a Segunda Guerra Mundial o industrial Oskar Schindler começa a se preocupar com seus funcionários judeus após testemunhar a perseguição que sofriam nas mãos dos nazistas.,Disponível
Um Sonho de Liberdade,16,Drama,Dois homens presos se reúnem ao longo de vários anos encontrando consolo e eventual redenção através de atos de decência comum.,Disponível
O Auto da Compadecida,L,Comédia,O animado João Grilo e o astuto Chicó são dois pobres coitados que vivem no interior e enganam um monte de gente para sobreviver mas seus planos são interrompidos quando um bandido chega à cidade.,Disponível
Três Homens em Conflito,14,Ação,Um impostor se junta com dois homens para encontrar fortuna num remoto cemitério.,Disponível
Debi e Loide: Dois Idiotas em Apuros,L,Comédia,Depois que uma mulher esquece uma pasta no terminal do aeroporto um motorista de limusine atrapalhado e seu amigo ainda mais atrapalhado partem em uma hilária viagem de carro pelo país até Aspen para devolvê-la.,Disponível
Curtindo a Vida Adoidado,L,Comédia,Um menino de colégio decide ter um dia livre de ir a escola ainda que o diretor diga o contrário.,Disponível
